first variable  second variable add_sum         multiply_sum    
           1854           1836           3690
           1854           1838           3692
           1854           1285           3139
           1854           1943           3797
           1854           1718           3572
           1854           1351           3205
           1854           760           2614
           1854           1925           3779
           1854           1842           3696
           1854           1921           3775
           1854           1967           3821
           1854           1822           3676
           1854           1978           3832
           1854           1837           3691
           1854           1378           3232
           1854           1618           3472
           1854           1266           3120
           1854           2003           3857
           1854           1972           3826
           1854           666           2520
           1854           1321           3175
           1854           1938           3792
           1854           1616           3470
           1854           1892           3746
           1854           831           2685
           1854           1865           3719
           1854           1314           3168
           1854           1571           3425
           1854           1806           3660
           1854           1225           3079
           1854           1882           3736
           1854           1454           3308
           1854           1257           3111
           1854           1381           3235
           1854           1284           3138
           1854           1907           3761
           1854           1950           3804
           1854           1887           3741
           1854           1492           3346
           1854           1934           3788
           1854           1709           3563
           1854           1315           3169
           1854           1574           3428
           1854           1794           3648
           1854           1576           3430
           1854           1883           3737
           1854           1864           3718
           1854           1981           3835
           1854           1317           3171
           1854           1397           3251
           1854           1325           3179
           1854           1620           3474
           1854           1895           3749
           1854           1485           3339
           1854           1828           3682
           1854           1803           3657
           1854           1715           3569
           1854           1374           3228
           1854           1251           3105
           1854           1460           3314
           1854           1863           3717
           1854           1581           3435
           1854           1499           3353
           1854           1933           3787
           1854           1982           3836
           1854           1809           3663
           1813           2004           3817
           1813           1520           3333
           1813           1753           3566
           1813           1463           3276
           1813           1976           3789
           1813           1994           3807
           1813           1830           3643
           1813           1942           3755
           1813           1784           3597
           1813           1858           3671
           1813           1841           3654
           1813           1721           3534
           1813           1480           3293
           1813           1821           3634
           1813           1584           3397
           1813           978           2791
           1813           1530           3343
           1813           1278           3091
           1813           1827           3640
           1813           889           2702
           1813           1922           3735
           1813           1996           3809
           1813           1992           3805
           1813           1819           3632
           1813           1847           3660
           1813           2010           3823
           1813           2002           3815
           1813           210           2023
           1813           1924           3737
           1813           1482           3295
           1813           1451           3264
           1813           1867           3680
           1813           1364           3177
           1813           1578           3391
           1813           1623           3436
           1813           1117           2930
           1813           1594           3407
           1813           1476           3289
           1813           1879           3692
           1813           1797           3610
           1813           1952           3765
           1813           2005           3818
           1813           1734           3547
           1813           1898           3711
           1813           1880           3693
           1813           1330           3143
           1813           1854           3667
           1813           1813           3626
           1813           1926           3739
           1813           1686           3499
           1813           1286           3099
           1813           1808           3621
           1813           1876           3689
           1813           1366           3179
           1813           1995           3808
           1813           1632           3445
           1813           1699           3512
           1813           2001           3814
           1813           1365           3178
           1813           1343           3156
           1813           1979           3792
           1813           1868           3681
           1813           1815           3628
           1813           820           2633
           1813           1966           3779
           1813           1888           3701
           1813           1916           3729
           1813           1852           3665
           1813           1932           3745
           1813           1368           3181
           1813           1606           3419
           1813           1825           3638
           1813           1731           3544
           1813           1980           3793
           1813           1990           3803
           1813           1818           3631
           1813           1702           3515
           1813           1419           3232
           1813           1897           3710
           1813           1970           3783
           1813           1276           3089
           1813           1914           3727
           1813           1889           3702
           1813           1953           3766
           1813           1588           3401
           1813           1958           3771
           1813           1310           3123
           1813           1391           3204
           1813           1326           3139
           1813           1131           2944
           1813           1959           3772
           1813           1844           3657
           1813           1307           3120
           1813           1998           3811
           1813           1961           3774
           1813           1708           3521
           1813           1977           3790
           1813           1886           3699
           1813           1946           3759
           1813           1516           3329
           1813           1999           3812
           1813           1859           3672
           1813           1931           3744
           1813           1853           3666
           1813           1265           3078
           1813           1869           3682
           1813           1642           3455
           1813           1740           3553
           1813           1467           3280
           1813           1944           3757
           1813           1956           3769
           1813           1263           3076
           1813           1940           3753
           1813           1912           3725
           1813           1832           3645
           1813           1872           3685
           1813           1678           3491
           1813           1319           3132
           1813           1839           3652
           1813           1689           3502
           1813           1765           3578
           1813           1894           3707
           1813           1242           3055
           1813           1983           3796
           1813           1410           3223
           1813           1985           3798
           1813           1387           3200
           1813           1022           2835
           1813           1358           3171
           1813           860           2673
           1813           112           1925
           1813           1964           3777
           1813           1836           3649
           1813           1838           3651
           1813           1285           3098
           1813           1943           3756
           1813           1718           3531
           1813           1351           3164
           1813           760           2573
           1813           1925           3738
           1813           1842           3655
           1813           1921           3734
           1813           1967           3780
           1813           1822           3635
           1813           1978           3791
           1813           1837           3650
           1813           1378           3191
           1813           1618           3431
           1813           1266           3079
           1813           2003           3816
           1813           1972           3785
           1813           666           2479
           1813           1321           3134
           1813           1938           3751
           1813           1616           3429
           1813           1892           3705
           1813           831           2644
           1813           1865           3678
           1813           1314           3127
           1813           1571           3384
           1813           1806           3619
           1813           1225           3038
           1813           1882           3695
           1813           1454           3267
           1813           1257           3070
           1813           1381           3194
           1813           1284           3097
           1813           1907           3720
           1813           1950           3763
           1813           1887           3700
           1813           1492           3305
           1813           1934           3747
           1813           1709           3522
           1813           1315           3128
           1813           1574           3387
           1813           1794           3607
           1813           1576           3389
           1813           1883           3696
           1813           1864           3677
           1813           1981           3794
           1813           1317           3130
           1813           1397           3210
           1813           1325           3138
           1813           1620           3433
           1813           1895           3708
           1813           1485           3298
           1813           1828           3641
           1813           1803           3616
           1813           1715           3528
           1813           1374           3187
           1813           1251           3064
           1813           1460           3273
           1813           1863           3676
           1813           1581           3394
           1813           1499           3312
           1813           1933           3746
           1813           1982           3795
           1813           1809           3622
           1926           2004           3930
           1926           1520           3446
           1926           1753           3679
           1926           1463           3389
           1926           1976           3902
           1926           1994           3920
           1926           1830           3756
           1926           1942           3868
           1926           1784           3710
           1926           1858           3784
           1926           1841           3767
           1926           1721           3647
           1926           1480           3406
           1926           1821           3747
           1926           1584           3510
           1926           978           2904
           1926           1530           3456
           1926           1278           3204
           1926           1827           3753
           1926           889           2815
           1926           1922           3848
           1926           1996           3922
           1926           1992           3918
           1926           1819           3745
           1926           1847           3773
           1926           2010           3936
           1926           2002           3928
           1926           210           2136
           1926           1924           3850
           1926           1482           3408
           1926           1451           3377
           1926           1867           3793
           1926           1364           3290
           1926           1578           3504
           1926           1623           3549
           1926           1117           3043
           1926           1594           3520
           1926           1476           3402
           1926           1879           3805
           1926           1797           3723
           1926           1952           3878
           1926           2005           3931
           1926           1734           3660
           1926           1898           3824
           1926           1880           3806
           1926           1330           3256
           1926           1854           3780
           1926           1813           3739
           1926           1926           3852
           1926           1686           3612
           1926           1286           3212
           1926           1808           3734
           1926           1876           3802
           1926           1366           3292
           1926           1995           3921
           1926           1632           3558
           1926           1699           3625
           1926           2001           3927
           1926           1365           3291
           1926           1343           3269
           1926           1979           3905
           1926           1868           3794
           1926           1815           3741
           1926           820           2746
           1926           1966           3892
           1926           1888           3814
           1926           1916           3842
           1926           1852           3778
           1926           1932           3858
           1926           1368           3294
           1926           1606           3532
           1926           1825           3751
           1926           1731           3657
           1926           1980           3906
           1926           1990           3916
           1926           1818           3744
           1926           1702           3628
           1926           1419           3345
           1926           1897           3823
           1926           1970           3896
           1926           1276           3202
           1926           1914           3840
           1926           1889           3815
           1926           1953           3879
           1926           1588           3514
           1926           1958           3884
           1926           1310           3236
           1926           1391           3317
           1926           1326           3252
           1926           1131           3057
           1926           1959           3885
           1926           1844           3770
           1926           1307           3233
           1926           1998           3924
           1926           1961           3887
           1926           1708           3634
           1926           1977           3903
           1926           1886           3812
           1926           1946           3872
           1926           1516           3442
           1926           1999           3925
           1926           1859           3785
           1926           1931           3857
           1926           1853           3779
           1926           1265           3191
           1926           1869           3795
           1926           1642           3568
           1926           1740           3666
           1926           1467           3393
           1926           1944           3870
           1926           1956           3882
           1926           1263           3189
           1926           1940           3866
           1926           1912           3838
           1926           1832           3758
           1926           1872           3798
           1926           1678           3604
           1926           1319           3245
           1926           1839           3765
           1926           1689           3615
           1926           1765           3691
           1926           1894           3820
           1926           1242           3168
           1926           1983           3909
           1926           1410           3336
           1926           1985           3911
           1926           1387           3313
           1926           1022           2948
           1926           1358           3284
           1926           860           2786
           1926           112           2038
           1926           1964           3890
           1926           1836           3762
           1926           1838           3764
           1926           1285           3211
           1926           1943           3869
           1926           1718           3644
           1926           1351           3277
           1926           760           2686
           1926           1925           3851
           1926           1842           3768
           1926           1921           3847
           1926           1967           3893
           1926           1822           3748
           1926           1978           3904
           1926           1837           3763
           1926           1378           3304
           1926           1618           3544
           1926           1266           3192
           1926           2003           3929
           1926           1972           3898
           1926           666           2592
           1926           1321           3247
           1926           1938           3864
           1926           1616           3542
           1926           1892           3818
           1926           831           2757
           1926           1865           3791
           1926           1314           3240
           1926           1571           3497
           1926           1806           3732
           1926           1225           3151
           1926           1882           3808
           1926           1454           3380
           1926           1257           3183
           1926           1381           3307
           1926           1284           3210
           1926           1907           3833
           1926           1950           3876
           1926           1887           3813
           1926           1492           3418
           1926           1934           3860
           1926           1709           3635
           1926           1315           3241
           1926           1574           3500
           1926           1794           3720
           1926           1576           3502
           1926           1883           3809
           1926           1864           3790
           1926           1981           3907
           1926           1317           3243
           1926           1397           3323
           1926           1325           3251
           1926           1620           3546
           1926           1895           3821
           1926           1485           3411
           1926           1828           3754
           1926           1803           3729
           1926           1715           3641
           1926           1374           3300
           1926           1251           3177
           1926           1460           3386
           1926           1863           3789
           1926           1581           3507
           1926           1499           3425
           1926           1933           3859
           1926           1982           3908
           1926           1809           3735
           1686           2004           3690
           1686           1520           3206
           1686           1753           3439
           1686           1463           3149
           1686           1976           3662
           1686           1994           3680
           1686           1830           3516
           1686           1942           3628
           1686           1784           3470
           1686           1858           3544
           1686           1841           3527
           1686           1721           3407
           1686           1480           3166
           1686           1821           3507
           1686           1584           3270
           1686           978           2664
           1686           1530           3216
           1686           1278           2964
           1686           1827           3513
           1686           889           2575
           1686           1922           3608
           1686           1996           3682
           1686           1992           3678
           1686           1819           3505
           1686           1847           3533
           1686           2010           3696
           1686           2002           3688
           1686           210           1896
           1686           1924           3610
           1686           1482           3168
           1686           1451           3137
           1686           1867           3553
           1686           1364           3050
           1686           1578           3264
           1686           1623           3309
           1686           1117           2803
           1686           1594           3280
           1686           1476           3162
           1686           1879           3565
           1686           1797           3483
           1686           1952           3638
           1686           2005           3691
           1686           1734           3420
           1686           1898           3584
           1686           1880           3566
           1686           1330           3016
           1686           1854           3540
           1686           1813           3499
           1686           1926           3612
           1686           1686           3372
           1686           1286           2972
           1686           1808           3494
           1686           1876           3562
           1686           1366           3052
           1686           1995           3681
           1686           1632           3318
           1686           1699           3385
           1686           2001           3687
           1686           1365           3051
           1686           1343           3029
           1686           1979           3665
           1686           1868           3554
           1686           1815           3501
           1686           820           2506
           1686           1966           3652
           1686           1888           3574
           1686           1916           3602
           1686           1852           3538
           1686           1932           3618
           1686           1368           3054
           1686           1606           3292
           1686           1825           3511
           1686           1731           3417
           1686           1980           3666
           1686           1990           3676
           1686           1818           3504
           1686           1702           3388
           1686           1419           3105
           1686           1897           3583
           1686           1970           3656
           1686           1276           2962
           1686           1914           3600
           1686           1889           3575
           1686           1953           3639
           1686           1588           3274
           1686           1958           3644
           1686           1310           2996
           1686           1391           3077
           1686           1326           3012
           1686           1131           2817
           1686           1959           3645
           1686           1844           3530
           1686           1307           2993
           1686           1998           3684
           1686           1961           3647
           1686           1708           3394
           1686           1977           3663
           1686           1886           3572
           1686           1946           3632
           1686           1516           3202
           1686           1999           3685
           1686           1859           3545
           1686           1931           3617
           1686           1853           3539
           1686           1265           2951
           1686           1869           3555
           1686           1642           3328
           1686           1740           3426
           1686           1467           3153
           1686           1944           3630
           1686           1956           3642
           1686           1263           2949
           1686           1940           3626
           1686           1912           3598
           1686           1832           3518
           1686           1872           3558
           1686           1678           3364
           1686           1319           3005
           1686           1839           3525
           1686           1689           3375
           1686           1765           3451
           1686           1894           3580
           1686           1242           2928
           1686           1983           3669
           1686           1410           3096
           1686           1985           3671
           1686           1387           3073
           1686           1022           2708
           1686           1358           3044
           1686           860           2546
           1686           112           1798
           1686           1964           3650
           1686           1836           3522
           1686           1838           3524
           1686           1285           2971
           1686           1943           3629
           1686           1718           3404
           1686           1351           3037
           1686           760           2446
           1686           1925           3611
           1686           1842           3528
           1686           1921           3607
           1686           1967           3653
           1686           1822           3508
           1686           1978           3664
           1686           1837           3523
           1686           1378           3064
           1686           1618           3304
           1686           1266           2952
           1686           2003           3689
           1686           1972           3658
           1686           666           2352
           1686           1321           3007
           1686           1938           3624
           1686           1616           3302
           1686           1892           3578
           1686           831           2517
           1686           1865           3551
           1686           1314           3000
           1686           1571           3257
           1686           1806           3492
           1686           1225           2911
           1686           1882           3568
           1686           1454           3140
           1686           1257           2943
           1686           1381           3067
           1686           1284           2970
           1686           1907           3593
           1686           1950           3636
           1686           1887           3573
           1686           1492           3178
           1686           1934           3620
           1686           1709           3395
           1686           1315           3001
           1686           1574           3260
           1686           1794           3480
           1686           1576           3262
           1686           1883           3569
           1686           1864           3550
           1686           1981           3667
           1686           1317           3003
           1686           1397           3083
           1686           1325           3011
           1686           1620           3306
           1686           1895           3581
           1686           1485           3171
           1686           1828           3514
           1686           1803           3489
           1686           1715           3401
           1686           1374           3060
           1686           1251           2937
           1686           1460           3146
           1686           1863           3549
           1686           1581           3267
           1686           1499           3185
           1686           1933           3619
           1686           1982           3668
           1686           1809           3495
           1286           2004           3290
           1286           1520           2806
           1286           1753           3039
           1286           1463           2749
           1286           1976           3262
           1286           1994           3280
           1286           1830           3116
           1286           1942           3228
           1286           1784           3070
           1286           1858           3144
           1286           1841           3127
           1286           1721           3007
           1286           1480           2766
           1286           1821           3107
           1286           1584           2870
           1286           978           2264
           1286           1530           2816
           1286           1278           2564
           1286           1827           3113
           1286           889           2175
           1286           1922           3208
           1286           1996           3282
           1286           1992           3278
           1286           1819           3105
           1286           1847           3133
           1286           2010           3296
           1286           2002           3288
           1286           210           1496
           1286           1924           3210
           1286           1482           2768
           1286           1451           2737
           1286           1867           3153
           1286           1364           2650
           1286           1578           2864
           1286           1623           2909
           1286           1117           2403
           1286           1594           2880
           1286           1476           2762
           1286           1879           3165
           1286           1797           3083
           1286           1952           3238
           1286           2005           3291
           1286           1734           3020
           1286           1898           3184
           1286           1880           3166
           1286           1330           2616
           1286           1854           3140
           1286           1813           3099
           1286           1926           3212
           1286           1686           2972
           1286           1286           2572
           1286           1808           3094
           1286           1876           3162
           1286           1366           2652
           1286           1995           3281
           1286           1632           2918
           1286           1699           2985
           1286           2001           3287
           1286           1365           2651
           1286           1343           2629
           1286           1979           3265
           1286           1868           3154
           1286           1815           3101
           1286           820           2106
           1286           1966           3252
           1286           1888           3174
           1286           1916           3202
           1286           1852           3138
           1286           1932           3218
           1286           1368           2654
           1286           1606           2892
           1286           1825           3111
           1286           1731           3017
           1286           1980           3266
           1286           1990           3276
           1286           1818           3104
           1286           1702           2988
           1286           1419           2705
           1286           1897           3183
           1286           1970           3256
           1286           1276           2562
           1286           1914           3200
           1286           1889           3175
           1286           1953           3239
           1286           1588           2874
           1286           1958           3244
           1286           1310           2596
           1286           1391           2677
           1286           1326           2612
           1286           1131           2417
           1286           1959           3245
           1286           1844           3130
           1286           1307           2593
           1286           1998           3284
           1286           1961           3247
           1286           1708           2994
           1286           1977           3263
           1286           1886           3172
           1286           1946           3232
           1286           1516           2802
           1286           1999           3285
           1286           1859           3145
           1286           1931           3217
           1286           1853           3139
           1286           1265           2551
           1286           1869           3155
           1286           1642           2928
           1286           1740           3026
           1286           1467           2753
           1286           1944           3230
           1286           1956           3242
           1286           1263           2549
           1286           1940           3226
           1286           1912           3198
           1286           1832           3118
           1286           1872           3158
           1286           1678           2964
           1286           1319           2605
           1286           1839           3125
           1286           1689           2975
           1286           1765           3051
           1286           1894           3180
           1286           1242           2528
           1286           1983           3269
           1286           1410           2696
           1286           1985           3271
           1286           1387           2673
           1286           1022           2308
           1286           1358           2644
           1286           860           2146
           1286           112           1398
           1286           1964           3250
           1286           1836           3122
           1286           1838           3124
           1286           1285           2571
           1286           1943           3229
           1286           1718           3004
           1286           1351           2637
           1286           760           2046
           1286           1925           3211
           1286           1842           3128
           1286           1921           3207
           1286           1967           3253
           1286           1822           3108
           1286           1978           3264
           1286           1837           3123
           1286           1378           2664
           1286           1618           2904
           1286           1266           2552
           1286           2003           3289
           1286           1972           3258
           1286           666           1952
           1286           1321           2607
           1286           1938           3224
           1286           1616           2902
           1286           1892           3178
           1286           831           2117
           1286           1865           3151
           1286           1314           2600
           1286           1571           2857
           1286           1806           3092
           1286           1225           2511
           1286           1882           3168
           1286           1454           2740
           1286           1257           2543
           1286           1381           2667
           1286           1284           2570
           1286           1907           3193
           1286           1950           3236
           1286           1887           3173
           1286           1492           2778
           1286           1934           3220
           1286           1709           2995
           1286           1315           2601
           1286           1574           2860
           1286           1794           3080
           1286           1576           2862
           1286           1883           3169
           1286           1864           3150
           1286           1981           3267
           1286           1317           2603
           1286           1397           2683
           1286           1325           2611
           1286           1620           2906
           1286           1895           3181
           1286           1485           2771
           1286           1828           3114
           1286           1803           3089
           1286           1715           3001
           1286           1374           2660
           1286           1251           2537
           1286           1460           2746
           1286           1863           3149
           1286           1581           2867
           1286           1499           2785
           1286           1933           3219
           1286           1982           3268
           1286           1809           3095
           1808           2004           3812
           1808           1520           3328
           1808           1753           3561
           1808           1463           3271
           1808           1976           3784
           1808           1994           3802
           1808           1830           3638
           1808           1942           3750
           1808           1784           3592
           1808           1858           3666
           1808           1841           3649
           1808           1721           3529
           1808           1480           3288
           1808           1821           3629
           1808           1584           3392
           1808           978           2786
           1808           1530           3338
           1808           1278           3086
           1808           1827           3635
           1808           889           2697
           1808           1922           3730
           1808           1996           3804
           1808           1992           3800
           1808           1819           3627
           1808           1847           3655
           1808           2010           3818
           1808           2002           3810
           1808           210           2018
           1808           1924           3732
           1808           1482           3290
           1808           1451           3259
           1808           1867           3675
           1808           1364           3172
           1808           1578           3386
           1808           1623           3431
           1808           1117           2925
           1808           1594           3402
           1808           1476           3284
           1808           1879           3687
           1808           1797           3605
           1808           1952           3760
           1808           2005           3813
           1808           1734           3542
           1808           1898           3706
           1808           1880           3688
           1808           1330           3138
           1808           1854           3662
           1808           1813           3621
           1808           1926           3734
           1808           1686           3494
           1808           1286           3094
           1808           1808           3616
           1808           1876           3684
           1808           1366           3174
           1808           1995           3803
           1808           1632           3440
           1808           1699           3507
           1808           2001           3809
           1808           1365           3173
           1808           1343           3151
           1808           1979           3787
           1808           1868           3676
           1808           1815           3623
           1808           820           2628
           1808           1966           3774
           1808           1888           3696
           1808           1916           3724
           1808           1852           3660
           1808           1932           3740
           1808           1368           3176
           1808           1606           3414
           1808           1825           3633
           1808           1731           3539
           1808           1980           3788
           1808           1990           3798
           1808           1818           3626
           1808           1702           3510
           1808           1419           3227
           1808           1897           3705
           1808           1970           3778
           1808           1276           3084
           1808           1914           3722
           1808           1889           3697
           1808           1953           3761
           1808           1588           3396
           1808           1958           3766
           1808           1310           3118
           1808           1391           3199
           1808           1326           3134
           1808           1131           2939
           1808           1959           3767
           1808           1844           3652
           1808           1307           3115
           1808           1998           3806
           1808           1961           3769
           1808           1708           3516
           1808           1977           3785
           1808           1886           3694
           1808           1946           3754
           1808           1516           3324
           1808           1999           3807
           1808           1859           3667
           1808           1931           3739
           1808           1853           3661
           1808           1265           3073
           1808           1869           3677
           1808           1642           3450
           1808           1740           3548
           1808           1467           3275
           1808           1944           3752
           1808           1956           3764
           1808           1263           3071
           1808           1940           3748
           1808           1912           3720
           1808           1832           3640
           1808           1872           3680
           1808           1678           3486
           1808           1319           3127
           1808           1839           3647
           1808           1689           3497
           1808           1765           3573
           1808           1894           3702
